CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
10.869.155/0001-12,FII PARQUE DOM PEDRO SHOPPING CENTER,0.0,5085020.53,inf
10.869.155/0001-12,FII PARQUE DOM PEDRO SHOPPING CENTER,0.0,10870856.62,inf
11.026.627/0001-38,FII BTG PACTUAL FUNDO DE FUNDOS,0.0,46903907.86,inf
11.026.627/0001-38,FII BTG PACTUAL FUNDO DE FUNDOS,0.0,86540394.82,inf
11.026.627/0001-38,FII BTG PACTUAL FUNDO DE FUNDOS,0.0,56417486.72,inf
11.044.355/0001-07,STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,3953219.55,inf
11.044.355/0001-07,STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,7680540.84,inf
11.160.521/0001-22,CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,0.0,43941602.15,inf
11.160.521/0001-22,CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INVEST IMOBILIÁRIO FII,0.0,87883203.8,inf
11.160.521/0001-22,PÁTRIA RECEBÍVEIS IMOBILIÁRIOS - FII,0.0,43941602.1,inf
11.160.521/0001-22,PÁTRIA RECEBÍVEIS IMOBILIÁRIOS - FII,0.0,87883204.2,inf
11.179.118/0001-45,FII ANHANGUERA EDUCACIONAL,0.0,3108218.82,inf
11.179.118/0001-45,FII ANHANGUERA EDUCACIONAL,0.0,6343211.91,inf
11.179.118/0001-45,FII ANHANGUERA EDUCACIONAL,0.0,3284744.98,inf
11.179.118/0001-45,FII ANHANGUERA EDUCACIONAL,0.0,6567705.68,inf
11.233.841/0001-65,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,22889021.53,inf
11.233.841/0001-65,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,417716.78,11557397.29,2766.8
11.233.841/0001-65,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,22967509.75,inf
11.260.134/0001-68,CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,0.0,7888756.8,inf
11.260.134/0001-68,PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LIMITADA,0.0,16478735.8,inf
11.260.134/0001-68,PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LIMITADA,0.0,9028243.0,inf
11.260.134/0001-68,PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LIMITADA,0.0,240694726.1,inf
11.268.335/0001-01,JPP FII,0.0,1924769.4,inf
11.268.335/0001-01,JPP FII,0.0,4136543.32,inf
11.268.335/0001-01,JPP FII - FII,25683.77,5103373.11,19870.03
11.274.415/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,0.0,3281312.05,inf
11.274.415/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,0.0,4984524.39,inf
11.274.415/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,0.0,10684819.56,inf
11.274.415/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,0.0,11836858.86,inf
11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,2811465.15,6000000.0,213.41
11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,7496823.95,inf
11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,0.0,inf
11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,0.0,inf
11.602.654/0001-01,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,0.0,8849680.88,inf
11.602.654/0001-01,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,0.0,17681067.19,inf
11.602.654/0001-01,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,0.0,8851338.87,inf
11.602.654/0001-01,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,0.0,17774797.23,inf
11.728.688/0001-47,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,111498997.35,inf
11.728.688/0001-47,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,222997995.1,inf
11.728.688/0001-47,PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,111498997.5,inf
11.728.688/0001-47,PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,222997995.0,inf
11.839.593/0001-09,BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,73458056.6,inf
11.839.593/0001-09,BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,174565264.14,inf
11.839.593/0001-09,BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,95527098.14,inf
11.839.593/0001-09,BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,216163400.29,inf
12.005.956/0001-65,KINEA RENDA IMOBILIARIA FII,9662610.64,72471363.0,750.02
12.005.956/0001-65,KINEA RENDA IMOBILIARIA FII,14054096.28,153645737.59,1093.25
