Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FII TORRE ALMIRANTE,308.8
FII TORRE ALMIRANTE,299.0
FII SHOPPING PARQUE D. PEDRO,191.0
FII SHOPPING PARQUE D. PEDRO,198.5
FII SHOPPING PARQUE D. PEDRO,198.5
FII SHOPPING PARQUE D. PEDRO,6151095.64
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,2106.6
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,372.49
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,597.39
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,952.34
FII ANCAR IC,2752326.83
FII ANCAR IC,2423844.35
FII ANCAR IC,1213089.91
FII ANCAR IC,1213089.91
FII HOSPITAL NOSSA SENHORA DE LOURDES,197.0
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.5
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.5
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.5
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2189.76
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24669.08
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14353.69
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,18660.42
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,8414.76
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,9933.45
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,9765.03
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,10423.14
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,527376.8
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,552668.44
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,173500.0
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,21787.04
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,22030.12
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,2000.49
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,33664.68
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,18672.68
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,8310.48
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,6138.14
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,8094.67
FII HOTEL MAXINVEST,199.24
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,434198.53
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,195.54
FII BTG PACTUAL CORPORATE OFFICE FUND,191.72
FII BTG PACTUAL CORPORATE OFFICE FUND,47091.33
FII BTG PACTUAL CORPORATE OFFICE FUND,49260.25
FUNDO DE INVESTIMENTO - FII BTG PACTUAL CORPORATE OFFICE,200.0
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,654678.31
