Nome_Fundo,Tipo,Valor
FII  BTG PACTUAL CREDITO IMOBILIARIO,CRI,51053632.71
FII  BTG PACTUAL CREDITO IMOBILIARIO,Outras Cotas de FI,17665235.08
FII -  BM BRASCAN LAJES CORPORATIVAS,Outras Cotas de FI,1447021.84
FII -  BM BRASCAN LAJES CORPORATIVAS,Outros Ativos Financeiros,192300.83
FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,Ações de Sociedades,882000.0
FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,CRI,26333024.93
FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,FII,6204699.48
FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,Outras Cotas de FI,72550.72
FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,Outros Ativos Financeiros,3383916.03
FII ALIANZA TRUST RENDA IMOBILIARIA,Outras Cotas de FI,3303436.4
FII AMETISTA,Outras Cotas de FI,48024.33
FII ANCAR IC,Outras Cotas de FI,82640811.48
FII ANHANGUERA EDUCACIONAL,Outras Cotas de FI,2835607.79
FII ANHANGUERA EDUCACIONCIONAL,Outras Cotas de FI,1465395.58
FII BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII,CRI,30039717.4
FII BM BRASCAN LAJES CORPORATIVAS,Outras Cotas de FI,3086163.29
FII BM BRASCAN LAJES CORPORATIVAS,Outros Ativos Financeiros,446281.23
FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,CRI,21495405.37
FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,FII,514069570.96
FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,Outros Ativos Financeiros,31653712.76
FII BRISA RENDA IMOBILIARIA,Ações de Sociedades,661290302.73
FII BRISA RENDA IMOBILIARIA,Outras Cotas de FI,48171226.8
FII BRISA RENDA IMOBILIARIA,Outros Ativos Financeiros,27481330.0
FII BTG PACTUAL CORPORATE OFFICE FUND,CRI,524196933.15
FII BTG PACTUAL CORPORATE OFFICE FUND,FII,4445989778.32
FII BTG PACTUAL CORPORATE OFFICE FUND,LCI,402258076.47
FII BTG PACTUAL CORPORATE OFFICE FUND,Outras Cotas de FI,39388704.5
FII BTG PACTUAL CORPORATE OFFICE FUND,Outros Ativos Financeiros,3989236.59
FII BTG PACTUAL CREDITO IMOBILIARIO,CRI,113357768.65
FII BTG PACTUAL CREDITO IMOBILIARIO,Outras Cotas de FI,84216378.23
FII BTG PACTUAL FUNDO DE CRI,CRI,494079669.5
FII BTG PACTUAL FUNDO DE CRI,LCI,10650658.5
FII BTG PACTUAL FUNDO DE CRI,Outras Cotas de FI,66561863.4
FII BTG PACTUAL FUNDO DE CRI,Outros Ativos Financeiros,5511.24
FII BTG PACTUAL FUNDO DE FUNDOS,CRI,82540062.3
FII BTG PACTUAL FUNDO DE FUNDOS,FII,1835836939.76
FII BTG PACTUAL FUNDO DE FUNDOS,LCI,40497053.9
FII BTG PACTUAL FUNDO DE FUNDOS,Outras Cotas de FI,83045986.6
FII CAIXA DESENVOLVIMENTO IMOBILIARIO,Ações,1071000234.0
FII CAIXA DESENVOLVIMENTO IMOBILIARIO,Outros Ativos Financeiros,26463549.46
FII CEO CYRELA COMMERCIAL PROPERTIES,Outras Cotas de FI,5919210.14
FII COMERCIAL PROGRESSIVO II,Outras Cotas de FI,2577941.74
FII CYRELA THERA CORPORATE,Outras Cotas de FI,2765361.77
FII DERRY UNIVERSAL,Ações de Sociedades,2688782.0
FII DERRY UNIVERSAL,Cotas de Sociedades,2688782.0
FII EDIFICIO ALMIRANTE BARROSO,Outras Cotas de FI,10294880.92
FII EDIFICIO GALERIA,Outras Cotas de FI,2873812.97
FII ESTOQUE RESIDENCIAL VITACON,Outras Cotas de FI,2405515.56
FII EXCLUSIVO INFRA PATRIMONIAL II,FII,295251588.6
FII EXCLUSIVO INFRA PATRIMONIAL II,Outras Cotas de FI,453016.31
