Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
2952108,,
295306,,
295307,,
2956373,,
295747,,
295804,,
296223,,
2969948,,
297015,,
297641,,
2986558,,
2991451,,
2992718,,
2LED1004,,
2LED1008,,
2LED1009,,
2LED1010,,
2LED1203,,
2LED1204,,
2LED1205,,
2LED1310,,
2LED1311,,
2LED1312,,
2LED1512,,
2LED206,,
2LED405,,
2LED508,,
2LED509,,
2LED609,,
2LED902,,
2º Pavimento Minasbank,0.0,0.0
3 Centros de Convenções no Hotel,,
300632,,
300684,,
3014702,,
302254,,
3031279,,
3035416,,
3044442,,
3045355,,
3053983,,
305821,,
306 - FAZENDA JOÃO MARQUES,0.0,0.0
306460,,
307518,,
3107 - FAZENDA QUATI,0.0,0.0
310738,,
310969,,
310971,,
311072,,
311076,,
311150,,
311315,,
313275,,
3135825,,
314497,,
3156161,,
3156772,,
3156865,,
3157701,,
3160654,,
316109,,
3168084,,
3171732,,
3171767,,
3174445,,
3175943,,
3176160,,
3176261,,
3176397,,
3176868,,
3180652,,
3180702,,
3181928,,
318901,,
318986,,
319201,,
322658,,
322888,,
328634,,
329602,,
331463,,
331791,,
332340,,
332442,,
333178,,
334111,,
334129,,
334685,,
334724,,
334768,,
334830,,
337112,,
337350,,
337367,,
337565,,
337720,,
337811,,
337818,,
3380 - FAZENDA MUZUMBO I,0.0,0.0
338220,,
338409,,
339148,,
339683,,
34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
3402446,,
3402452,,
340336,,
3404405,,
340637,,
341375,,
341590,,
341809,,
341971,,
342210,,
36353 - FAZENDA POPOCAS,0.0,0.0
36354 - FAZENDA SÃO PEDRO,0.0,0.0
36355 - FAZENDA JAGUAREMA DO MEIO,0.0,0.0
36356 - FAZENDA SANTA TEREZINHA,0.0,0.0
365 - FAZENDA BREJEIRO,0.0,0.0
36791 - FAZENDA IBURA,0.0,0.0
36792 - FAZENDA NSA SRA DOS PRAZERES I,0.0,0.0
3704776,,
3LED212,,
41 - FAZENDA JAGUARIBE E SÃO FRANCISCO,0.0,0.0
4182 - FAZENDA TORRE,0.0,0.0
4184 - FAZENDA MANGUEIRA,0.0,0.0
431 - FAZENDA PARAÍSO SÃO MIGUEL,0.0,0.0
4372 - FAZENDA MANGUEIRA E OUTRAS,0.0,0.0
4377 - FAZENDA ILHA DO MARANHÃO,0.0,0.0
4378 - FAZENDA SÃO ROQUE E OUTRAS,0.0,0.0
4381 - FAZENDA NASCENÇA DO PIQUIRI,0.0,0.0
451 - FAZENDA MUNDO NOVO I,0.0,0.0
46210 - FAZENDA ALVORADA CABOCLO,0.0,0.0
466 - FAZENDA ARAGUAIA III,0.0,0.0
4712 - FAZENDA BONFIM,0.0,0.0
480667,,
483 - FAZENDA VALE DO MUMBABA,0.0,0.0
486062,,
486088,,
4863 - FAZENDA NSA SRA DO CARMO E OUTRAS,0.0,0.0
4868 - FAZENDA CAVALEIRO E OUTRAS,0.0,0.0
487 - FAZENDA CAMPINA BELA,0.0,0.0
490613,,
491326,,
491435,,
493001,,
494114,,
499749,,
502218,,
503248,,
504 - FAZENDA PRIMEIRO RIO,0.0,0.0
505827,,
509107,,
51 Unidades  Master no Hotel,,
511671,,
512255,,
5124 - FAZENDA MARACUJÁ,0.0,0.0
517460,,
519330,,
519388,,
519467,,
519468,,
519548,,
519633,,
520167,,
520530,,
520838,0.0,0.0
521702,,
521787,,
522233,,
522244,,
523 - FAZENDA MUNDO NOVO I,0.0,0.0
523714,,
525887,,
526140,,
526174,,
527799,,
527824,,
527884,,
528615,,
529932,,
530543,,
54844 - FAZENDA IBURA,0.0,0.0
548723,,
549043,,
552177,,
552186,,
555994,,
557167,,
557183,,
557527,,
560518,,
561129,,
563359,,
563547,,
565062,,
565228,,
565551,,
567403,,
567412,,
567426,,
5680 - SÍTIO OU FAZENDA MARACUJÁ,0.0,0.0
568889,,
569379,,
569474,,
570035,,
572422,,
572830,,
573869,,
574416,,
574669,,
579995,,
580165,,
580440,,
581662,,
582870,,
584112,,
584568,,
586348,,
586698,,
588200,,
588397,,
588420,,
590333,0.0,0.0
591210,,
591241,,
591379,,
591443,,
592837,,
592985,,
593225,,
593858,,
593943,,
594 - SÍTIO MAXIXE,0.0,0.0
594553,,
594934,,
594983,,
595491,,
596004,,
6.078 - FAZENDA CAPUABA/URUCUTUBA,0.0,0.0
6.293 - FAZENDA DIAMANTINA,0.0,0.0
627100,,
628502,,
636 - FAZENDA SANTA MARIA,0.0,0.0
6386 - FAZENDA MARACUJÁ,0.0,0.0
64 Unidades Standard no Hotel,,
641309,,
655498,,
657731,,
657932,,
658136,,
658394,,
6644 - GLEBA PONTAL,0.0,0.0
6645 - GLEBA RIBEIRÃOZINHO,0.0,0.0
6646 - HONDA,0.0,0.0
6647 - GLEBA VACARIA,0.0,0.0
664793,,
664980,,
665517,,
666532,,
667475,,
6676 - FAZENDA LARANJEIRAS DOS GOMES (PARTE A),0.0,0.0
668205,,
672825,,
682977,,
683441,,
687437,,
693984,,
695579,,
695580,,
707693,,
7187 - GLEBA SANTA CRUZ,0.0,0.0
7188 - GLEBA CERCADO,0.0,0.0
7189 - GLEBA CAPEVA,0.0,0.0
720493,,
721554,,
726092,,
726477,,
728404,,
728835,,
728844,,
728939,,
730414,,
730475,,
730653,,
733652,,
7713 - CAPRICHO,0.0,0.0
7817 - FAZENDA ILHA,0.0,0.0
8244 - BARREIRO (SASOKA/JACARÉ),0.0,0.0
841 - FAZENDA MIRANDA,0.0,0.0
8464 - FAZENDA SÃO JOSÉ,0.0,0.0
8565 - LOTEAMENTO BONFIM,0.0,0.0
888289,,
889286,,
889288,,
890080,,
890750,,
890764,,
890806,,
890832,,
891586,,
892407,,
892416,,
893 - FAZENDA LIMOAL E OUTRAS,0.0,0.0
893097,,
893167,,
894316,,
894435,,
895617,,
895743,,
895847,,
896551,,
896619,,
897179,,
897285,,
897471,,
898034,,
899501,,
899756,,
899918,,
901100,,
903478,,
903634,,
904504,,
905584,,
912288,,
913167,,
917821,,
917926,,
918476,,
923161,,
923373,,
923378,,
923692,,
923984,,
924120,,
924193,,
924319,,
924473,,
940884,,
940910,,
941000,,
941307,,
941662,,
942244,,
942696,,
942739,,
942740,,
942848,,
942877,,
942879,,
950669,,
9532 - GLEBA ALVORADA,0.0,0.0
9534 - GLEBA PONTE NOVA,0.0,0.0
968013,,
968159,,
969537,,
970238,,
970697,,
99 - FAZENDA ARAGUAIA II,0.0,0.0
AB_1101,,
AB_1102,,
AB_1401,,
AB_1902,,
AB_2101,,
AB_2204,,
AB_2801,,
AB_2802,,
AB_302,,
AB_303,,
AB_304,,
AB_404,,
AB_502,,
AB_503,,
AB_504,,
AB_602,,
AB_603,,
AB_604,,
ACARAÚ 62,0.0,0.0
ADEL1203,,
ADELE 132,,
ADEL_104,,
ADEL_G1,,
ADEL_G10,,
ADEL_G11,,
ADEL_G12,,
ADEL_G13,,
ADEL_G14,,
ADEL_G2,,
ADEL_G3,,
ADEL_G4,,
ADEL_G5,,
ADEL_G6,,
ADEL_G7,,
ADEL_G9,,
ADE_202,,
ADOL1,0.0,0.0
AEROPORTO,0.0,0.0
AETHRA,0.0,0.0
AG ARAGUARI,0.0,0.0
AG ATIBAIA,0.0,0.0
AG BAEPENDI,0.0,0.0
AG BELA VISTA,0.0,0.0
AG BOM FIM,0.0,0.0
AG CACHOEIRA DO SUL,0.0,0.0
AG CAPAO DA CANOA,0.0,0.0
AG CAXIAS SUL,0.0,0.0
AG ELOI MENDES,0.0,0.0
AG FREDERICO WESTPHALEN,0.0,0.0
AG FREIRE ALEMÃO,0.0,0.0
AG GIOVANNI BREDA,0.0,0.0
AG GUIA LOPES,0.0,0.0
AG HORTO DE IPATINGA,0.0,0.0
AG INHANGA,0.0,0.0
AG ITABIRA,0.0,0.0
AG JACAREI,0.0,0.0
AG LAJEADO,0.0,0.0
AG LEBLON,0.0,0.0
AG MACAE,0.0,0.0
AG MADUREIRA,0.0,0.0
AG MAGE,0.0,0.0
AG MANCHESTER,0.0,0.0
AG MONTES CLAROS,0.0,0.0
AG OSORIO,0.0,0.0
AG PASSO FUNDO,0.0,0.0
AG PELOTAS,0.0,0.0
AG PILARES,0.0,0.0
AG PIRACICABA,0.0,0.0
AG QUEIMADOS,0.0,0.0
AG RIBEIRAO PIRES,0.0,0.0
AG SANTA CRUZ DO SUL,0.0,0.0
AG SAO LOURENCO,0.0,0.0
AG SOLEDADE,0.0,0.0
AG URUGUAIANA,0.0,0.0
AG. AFONSO PENA,0.0,0.0
AG. ALDEOTA,0.0,0.0
AG. ANA ROSA,0.0,0.0
AG. ARACATUBA,0.0,0.0
AG. ASA NORTE 504,0.0,0.0
AG. ASA SUL 507,0.0,0.0
AG. BAIRRO BOM RETIRO,0.0,0.0
AG. BONFIM,0.0,0.0
AG. BRAS,0.0,0.0
AG. BROOKLIN PAULISTA,0.0,0.0
AG. CAMPINAS,0.0,0.0
AG. CAMPOS ELISEOS,0.0,0.0
AG. CAMPOS GOYTACAZES,0.0,0.0
AG. CARIJOS,0.0,0.0
AG. CASA VERDE,0.0,0.0
AG. CATEDRAL-SOROCABA,0.0,0.0
AG. CENTRO - SOROCABA(SP),0.0,0.0
AG. CINELANDIA,0.0,0.0
AG. CONJUNTO NACIONAL,0.0,0.0
AG. DUQUE DE CAXIAS,0.0,0.0
AG. FLORIANOPOLIS,0.0,0.0
AG. FREGUESIA DO O,0.0,0.0
AG. GENERAL VALADAO,0.0,0.0
AG. IPIRANGA-SP,0.0,0.0
AG. JACAREPAGUA,0.0,0.0
AG. JUIZ DE FORA,0.0,0.0
AG. MANAUS,0.0,0.0
AG. MARINGA,0.0,0.0
AG. MOEMA,0.0,0.0
AG. NITEROI (RJ),0.0,0.0
AG. NOSSA SENHORA LAPA,0.0,0.0
AG. PARAISO,0.0,0.0
AG. PC.RUI BARBOSA-BAURU,0.0,0.0
AG. PCA XV NOVEMBRO/BESC,0.0,0.0
AG. PENHA FRANCA,0.0,0.0
AG. PINHEIROS,0.0,0.0
AG. PONTA GROSSA,0.0,0.0
AG. PRACA DA ARVORE,0.0,0.0
AG. RIBEIRAO PRETO SP,0.0,0.0
AG. SANTANA,0.0,0.0
AG. SANTO AMARO PAULISTA,0.0,0.0
AG. SAO JOSE DOS CAMPOS,0.0,0.0
