CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_304,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 304 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 304 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAR1_24,"Avenida Brasil, 1.415, no loteamento Jardim São Paulo, Americana - SP - Rio Verde Condomínio Garnet Unidade 24 - Apartamento Residencial",121.33,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Avenida Brasil, 1.415, no loteamento Jardim São Paulo, Americana - SP - Rio Verde Condomínio Garnet Unidade 24 - Apartamento Residencial",121.33,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,EASY612,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 612 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 612 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,SELETTOS_158439,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1204 - 12 andar -Centro - Betim - MG",84.36,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-06-29,1.0,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1204 - 12 andar -Centro - Betim - MG",84.36,1.0,Nenhuma característica relevante,0.01,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,MAIG_101,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 101 - Vaga de Garagem",12.5,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 101 - Vaga de Garagem",12.5,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,LUMIERE_75148,"Avenida Engenheiro Miguel Gemma, 1399, 3º Andar, Apto 34, Socoro, Mogi das Cruzes - SP",100.12,1.0,Nenhuma característica relevante.,,,,,,,,,,0.0,2018-03-29,1.0,"Avenida Engenheiro Miguel Gemma, 1399, 3º Andar, Apto 34, Socoro, Mogi das Cruzes - SP",100.12,1.0,Nenhuma característica relevante.,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAI2_403,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 403, 4º Andar -  Bloco - 2 - Vita Felice",58.86,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 403, 4º Andar -  Bloco - 2 - Vita Felice",58.86,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAI2_103,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 103, 1º Andar -  Bloco - 2 - Vita Felice",51.97,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 103, 1º Andar -  Bloco - 2 - Vita Felice",51.97,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_101,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 101 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 101 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,SELETTOD_158366,"Av. Nossa Senhora do Carmo, 644 - Apto nº 903 - 9 andar -Centro - Betim - MG",72.18,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-06-29,1.0,"Av. Nossa Senhora do Carmo, 644 - Apto nº 903 - 9 andar -Centro - Betim - MG",72.18,1.0,Nenhuma característica relevante,0.01,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,SELETTOS_158411,"Av. Nossa Senhora do Carmo, 644 - Apto nº 504 - 5 andar -Centro - Betim - MG",84.36,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-06-29,1.0,"Av. Nossa Senhora do Carmo, 644 - Apto nº 504 - 5 andar -Centro - Betim - MG",84.36,1.0,Nenhuma característica relevante,0.01,Venda,,,,,,,,,
